"","date","group","amount","salary_change"
"158",2010-06-30,"Specialty Registrar",3216.83,1.65944025888658
"159",2010-07-31,"Specialty Registrar",3206.44,1.33109167214441
"160",2010-08-31,"Specialty Registrar",3104.32,-1.8961419831117
"161",2010-09-30,"Specialty Registrar",3215.83,1.62783789250138
"162",2010-10-31,"Specialty Registrar",3193.6,0.925317287758499
"163",2010-11-30,"Specialty Registrar",3230.98,2.10661374323709
"164",2010-12-31,"Specialty Registrar",3217.36,1.67618951307074
"165",2011-01-31,"Specialty Registrar",3219.24,1.73560196187489
"166",2011-02-28,"Specialty Registrar",3204.81,1.27957981493654
"167",2011-03-31,"Specialty Registrar",3225.91,1.94638974566415
"168",2011-04-30,"Specialty Registrar",3207.65,1.36933053547049
"169",2011-05-31,"Specialty Registrar",3230.94,2.10534964858168
"170",2011-06-30,"Specialty Registrar",3227.69,2.0026419578298
"171",2011-07-31,"Specialty Registrar",3226.53,1.96598321282298
"172",2011-08-31,"Specialty Registrar",3145.24,-0.602973150629531
"173",2011-09-30,"Specialty Registrar",3220.89,1.78774586641047
"174",2011-10-31,"Specialty Registrar",3214.41,1.5829625322344
"175",2011-11-30,"Specialty Registrar",3248.14,2.64891035040703
"176",2011-12-31,"Specialty Registrar",3214.11,1.57348182231885
"177",2012-01-31,"Specialty Registrar",3230.6,2.09460484401071
"178",2012-02-29,"Specialty Registrar",3226.13,1.9533422662689
"179",2012-03-31,"Specialty Registrar",3229.25,2.0519416493907
"180",2012-04-30,"Specialty Registrar",3222.39,1.83514941598826
"181",2012-05-31,"Specialty Registrar",3239.59,2.37871011781362
"182",2012-06-30,"Specialty Registrar",3236.44,2.27916266370025
"183",2012-07-31,"Specialty Registrar",3231.26,2.11546240582495
"184",2012-08-31,"Specialty Registrar",3221.55,1.80860342822471
"185",2012-09-30,"Specialty Registrar",3237.49,2.3123451484047
"186",2012-10-31,"Specialty Registrar",3236.08,2.26778581180158
"187",2012-11-30,"Specialty Registrar",3243.29,2.49563887343884
"188",2012-12-31,"Specialty Registrar",3222.01,1.8231405167619
"189",2013-01-31,"Specialty Registrar",3236.3,2.27473833240633
"190",2013-02-28,"Specialty Registrar",3185.65,0.674078474996205
"191",2013-03-31,"Specialty Registrar",3235.99,2.26494159882691
"192",2013-04-30,"Specialty Registrar",3229.24,2.05162562572684
"193",2013-05-31,"Specialty Registrar",3309.58,4.59055974111341
"194",2013-06-30,"Specialty Registrar",3267.84,3.27147696819538
"195",2013-07-31,"Specialty Registrar",3270.39,3.35206300247762
"196",2013-08-31,"Specialty Registrar",3145.79,-0.585591849117668
"197",2013-09-30,"Specialty Registrar",3275.62,3.51734337867219
"198",2013-10-31,"Specialty Registrar",3267.68,3.26642058957374
"199",2013-11-30,"Specialty Registrar",3268.12,3.28032563078322
"200",2013-12-31,"Specialty Registrar",3254.6,2.85306163725539
"201",2014-01-31,"Specialty Registrar",3256.83,2.92353491429437
"202",2014-02-28,"Specialty Registrar",3212.74,1.53018658037113
"203",2014-03-31,"Specialty Registrar",3263.56,3.13621884006674
"204",2014-04-30,"Specialty Registrar",3263.97,3.14917581028466
"205",2014-05-31,"Specialty Registrar",3272.08,3.4054710016686
"206",2014-06-30,"Specialty Registrar",3268.95,3.30655559488293
"207",2014-07-31,"Specialty Registrar",3262.35,3.09797997674065
"208",2014-08-31,"Specialty Registrar",3123.8,-1.2805278859281
"209",2014-09-30,"Specialty Registrar",3273.67,3.45571876422106
"210",2014-10-31,"Specialty Registrar",3272.9,3.43138494210446
"211",2014-11-30,"Specialty Registrar",3269.92,3.33720989027658
"212",2014-12-31,"Specialty Registrar",3255.73,2.88877231127066
"213",2015-01-31,"Specialty Registrar",3259.9,3.02055417909693
"214",2015-02-28,"Specialty Registrar",3223.68,1.87591646862516
"215",2015-03-31,"Specialty Registrar",3266.66,3.23418617586084
"216",2015-04-30,"Specialty Registrar",3264.8,3.17540577438439
"217",2015-05-31,"Specialty Registrar",3268.49,3.29201850634574
"218",2015-06-30,"Specialty Registrar",3266.78,3.23797845982707
"219",2015-07-31,"Specialty Registrar",3263.64,3.13874702937755
"220",2015-08-31,"Specialty Registrar",3127.96,-1.14906204176569
"221",2015-09-30,"Specialty Registrar",3259.62,3.01170551650907
"222",2015-10-31,"Specialty Registrar",3254.18,2.83978864337361
"223",2015-11-30,"Specialty Registrar",3290.39,3.98411033018151
"224",2015-12-31,"Specialty Registrar",3273.56,3.45224250391869
"225",2016-01-31,"Specialty Registrar",3274.94,3.49585376953026
"226",2016-02-29,"Specialty Registrar",3226.2,1.95555443191585
"227",2016-03-31,"Specialty Registrar",3244.81,2.54367447034433
"228",2016-04-30,"Specialty Registrar",3216.83,1.65944025888658
"229",2016-05-31,"Specialty Registrar",3266.59,3.23197401021388
"230",2016-06-30,"Specialty Registrar",3296.88,4.18920968802144
"231",2016-07-31,"Specialty Registrar",3304.08,4.41674672599483
"232",2016-08-31,"Specialty Registrar",3232.25,2.14674874854629
"233",2016-09-30,"Specialty Registrar",3313.31,4.70843656773018
"234",2016-10-31,"Specialty Registrar",3313.52,4.71507306467108
"235",2016-11-30,"Specialty Registrar",3338.67,5.50987257925873
"236",2016-12-31,"Specialty Registrar",3317.26,4.83326591495171
"237",2017-01-31,"Specialty Registrar",3319.47,4.90310714466298
"238",2017-02-28,"Specialty Registrar",3321.94,4.98116498963442
"239",2017-03-31,"Specialty Registrar",3325.34,5.08861303534409
"240",2017-04-30,"Specialty Registrar",3323.13,5.0187718056328
"241",2017-05-31,"Specialty Registrar",3409.89,7.76059311321231
"242",2017-06-30,"Specialty Registrar",3369.23,6.47564089599029
"243",2017-07-31,"Specialty Registrar",3367.5,6.4209688021439
"244",2017-08-31,"Specialty Registrar",3403.28,7.55170147140618
"245",2017-09-30,"Specialty Registrar",3485.04,10.1355109470597
"246",2017-10-31,"Specialty Registrar",3501.93,10.6692749153056
"247",2017-11-30,"Specialty Registrar",3530.03,11.5573014107296
"248",2017-12-31,"Specialty Registrar",3515.88,11.1101279263791
"249",2018-01-31,"Specialty Registrar",3489.03,10.2616043889366
"250",2018-02-28,"Specialty Registrar",3441.34,8.7544875360267
"251",2018-03-31,"Specialty Registrar",3519.72,11.2314810132983
"252",2018-04-30,"Specialty Registrar",3522.86,11.3307124437478
"253",2018-05-31,"Specialty Registrar",3529.06,11.526647115336
"254",2018-06-30,"Specialty Registrar",3524.78,11.3913889872074
"255",2018-07-31,"Specialty Registrar",3517.83,11.1717525408302
"256",2018-08-31,"Specialty Registrar",3549.54,12.1738635789048
"257",2018-09-30,"Specialty Registrar",3573.87,12.9427491530566
"258",2018-10-31,"Specialty Registrar",3646.16,15.2272842190423
"259",2018-11-30,"Specialty Registrar",3650.62,15.3682307731203
"260",2018-12-31,"Specialty Registrar",3644.7,15.1811447641199
"261",2019-01-31,"Specialty Registrar",3640.03,15.0335617131011
"262",2019-02-28,"Specialty Registrar",3600.24,13.7761035546342
"263",2019-03-31,"Specialty Registrar",3641.49,15.0797011680234
"264",2019-04-30,"Specialty Registrar",3639.93,15.0304014764625
"265",2019-05-31,"Specialty Registrar",3642.64,15.1160438893664
"266",2019-06-30,"Specialty Registrar",3638.21,14.97604540628
"267",2019-07-31,"Specialty Registrar",3636.94,14.9359104009708
"268",2019-08-31,"Specialty Registrar",3489.28,10.2695049805329
"269",2019-09-30,"Specialty Registrar",4040.71,27.695997876321
"270",2019-10-31,"Specialty Registrar",3737.42,18.1113161753552
"271",2019-11-30,"Specialty Registrar",3735.78,18.0594882944835
"272",2019-12-31,"Specialty Registrar",3733.41,17.9845906861506
"273",2020-01-31,"Specialty Registrar",3735.23,18.0421069929716
"274",2020-02-29,"Specialty Registrar",3690.49,16.628217120898
"275",2020-03-31,"Specialty Registrar",3733.68,17.9931233250746
"276",2020-04-30,"Specialty Registrar",3808.06,20.3437073368054
"277",2020-05-31,"Specialty Registrar",3823.27,20.8243793295242
"278",2020-06-30,"Specialty Registrar",3816.6,20.6135915457349
"279",2020-07-31,"Specialty Registrar",3813.13,20.5039313343783
"280",2020-08-31,"Specialty Registrar",3687.85,16.5447868736411
"281",2020-09-30,"Specialty Registrar",3797.07,19.9963973302321
"282",2020-10-31,"Specialty Registrar",3791.36,19.8159478181726
"283",2020-11-30,"Specialty Registrar",3850.11,21.6725868433028
"284",2020-12-31,"Specialty Registrar",3838.11,21.2933584466805
"285",2021-01-31,"Specialty Registrar",3842.3,21.4257723618345
"286",2021-02-28,"Specialty Registrar",3826.34,20.9213985943267
"287",2021-03-31,"Specialty Registrar",3847.99,21.6055898265662
"288",2021-04-30,"Specialty Registrar",3911.25,23.6047555240936
"289",2021-05-31,"Specialty Registrar",3922.27,23.9530136016585
"290",2021-06-30,"Specialty Registrar",3922.95,23.9745032108004
"291",2021-07-31,"Specialty Registrar",3920.39,23.8936011528543
"292",2021-08-31,"Specialty Registrar",3827.91,20.9710143095515
"293",2021-09-30,"Specialty Registrar",3928.19,24.1400996106588
"294",2021-10-31,"Specialty Registrar",3941.7,24.5670475805228
"295",2021-11-30,"Specialty Registrar",3990.01,26.0937579005916
"296",2021-12-31,"Specialty Registrar",3989.69,26.0836451433483
"297",2009-09-30,"Core Training",2668.71,0
"298",2009-10-31,"Core Training",2653.21,-0.580804958200779
"299",2009-11-30,"Core Training",2668.93,0.00824368327768097
"300",2009-12-31,"Core Training",2667.98,-0.0273540399668761
"301",2010-01-31,"Core Training",2669.45,0.0277287528431258
"302",2010-02-28,"Core Training",2662.13,-0.246561072578134
"303",2010-03-31,"Core Training",2679.99,0.422676124419654
"304",2010-04-30,"Core Training",2656.94,-0.441037055356333
"305",2010-05-31,"Core Training",2731.57,2.35544514016136
"306",2010-06-30,"Core Training",2712.41,1.63749526924993
"307",2010-07-31,"Core Training",2708.13,1.47711815821127
"308",2010-08-31,"Core Training",2598.37,-2.63573037160276
"309",2010-09-30,"Core Training",2691.25,0.844602823086808
"310",2010-10-31,"Core Training",2690.6,0.820246486129998
"311",2010-11-30,"Core Training",2698.2,1.10502827208651
"312",2010-12-31,"Core Training",2700.68,1.19795706539863
"313",2011-01-31,"Core Training",2699.26,1.14474783696993
