"","date","group","amount","salary_change","cpih","cpih_change","diff","cumulative_income_lost","cpih_matched_salary"
"173",2011-09-30,"Specialty Registrar",3220.89,1.78774586641047,6.2,0.599999999999994,-4.41225413358953,1649.28577394159,3366.2108089638
"174",2011-10-31,"Specialty Registrar",3214.41,1.5829625322344,6.2,0,-4.6170374677656,1819.32179208943,3366.2108089638
"175",2011-11-30,"Specialty Registrar",3248.14,2.64891035040703,6.40000000000001,0.200000000000003,-3.75108964959298,1957.46672857421,3372.94323058173
"176",2011-12-31,"Specialty Registrar",3214.11,1.57348182231885,6.7,0.299999999999997,-5.12651817768115,2146.26587607544,3383.06206027347
"177",2012-01-31,"Specialty Registrar",3230.6,2.09460484401071,6.40000000000001,-0.299999999999997,-4.30539515598929,2304.82474721055,3372.91287409265
"178",2012-02-29,"Specialty Registrar",3226.13,1.9533422662689,6.90000000000001,0.5,-4.94665773373111,2487.00000354237,3389.77743846311
"179",2012-03-31,"Specialty Registrar",3229.25,2.0519416493907,7.10000000000001,0.200000000000003,-5.04805835060931,2672.90963657182,3396.55699334004
"180",2012-04-30,"Specialty Registrar",3222.39,1.83514941598826,7.60000000000001,0.5,-5.76485058401175,2885.2172570679,3413.53977830674
"181",2012-05-31,"Specialty Registrar",3239.59,2.37871011781362,7.60000000000001,0,-5.22128988218639,3077.50665202319,3413.53977830674
"182",2012-06-30,"Specialty Registrar",3236.44,2.27916266370025,7.3,-0.300000000000011,-5.02083733629974,3262.41379093917,3403.29915897182
"183",2012-07-31,"Specialty Registrar",3231.26,2.11546240582495,7.40000000000001,0.100000000000009,-5.28453759417506,3457.03246937517,3406.70245813079
"184",2012-08-31,"Specialty Registrar",3221.55,1.80860342822471,7.8,0.399999999999991,-5.99139657177529,3677.68331384455,3420.32926796331
"185",2012-09-30,"Specialty Registrar",3237.49,2.3123451484047,8.10000000000001,0.300000000000011,-5.78765485159531,3890.83076873309,3430.5902557672
"186",2012-10-31,"Specialty Registrar",3236.08,2.26778581180158,8.5,0.399999999999991,-6.23221418819842,4120.35043198125,3444.31261679027
"187",2012-11-30,"Specialty Registrar",3243.29,2.49563887343884,8.7,0.200000000000003,-6.20436112656117,4348.84432410949,3451.20124202385
"188",2012-12-31,"Specialty Registrar",3222.01,1.8231405167619,9,0.299999999999997,-7.1768594832381,4613.15333564691,3461.55484574992
"189",2013-01-31,"Specialty Registrar",3236.3,2.27473833240633,8.7,-0.299999999999997,-6.42526166759367,4849.7825415269,3451.17018121268
"190",2013-02-28,"Specialty Registrar",3185.65,0.674078474996205,9.2,0.5,-8.5259215250038,5163.77474047999,3468.42603211874
"191",2013-03-31,"Specialty Registrar",3235.99,2.26494159882691,9.5,0.299999999999997,-7.23505840117309,5430.22709877066,3478.83131021509
"192",2013-04-30,"Specialty Registrar",3229.24,2.05162562572684,9.7,0.200000000000003,-7.64837437427316,5711.90103643847,3485.78897283552
"193",2013-05-31,"Specialty Registrar",3309.58,4.59055974111341,9.90000000000001,0.200000000000003,-5.3094402588866,5907.43682892832,3492.7605507812
"194",2013-06-30,"Specialty Registrar",3267.84,3.27147696819538,9.7,-0.200000000000003,-6.42852303180462,6144.18614416156,3485.77502967963
"195",2013-07-31,"Specialty Registrar",3270.39,3.35206300247762,9.7,0,-6.34793699752239,6377.96764107334,3485.77502967963
"196",2013-08-31,"Specialty Registrar",3145.79,-0.585591849117668,10.1,0.400000000000006,-10.6855918491177,6771.49606752906,3499.71812979835
"197",2013-09-30,"Specialty Registrar",3275.62,3.51734337867219,10.4,0.299999999999997,-6.88265662132782,7024.97019121552,3510.21728418775
"198",2013-10-31,"Specialty Registrar",3267.68,3.26642058957374,10.5,0.0999999999999943,-7.23357941042626,7291.36808131111,3513.72750147193
"199",2013-11-30,"Specialty Registrar",3268.12,3.28032563078322,10.5,0,-7.21967436921678,7557.25387726496,3513.72750147193
"200",2013-12-31,"Specialty Registrar",3254.6,2.85306163725539,10.9,0.400000000000006,-8.04693836274462,7853.60610897953,3527.78241147782
"201",2014-01-31,"Specialty Registrar",3256.83,2.92353491429437,10.4,-0.5,-7.47646508570563,8128.94898021898,3510.14349942043
"202",2014-02-28,"Specialty Registrar",3212.74,1.53018658037113,10.8,0.399999999999991,-9.26981341962887,8470.33719156695,3524.18407341811
"203",2014-03-31,"Specialty Registrar",3263.56,3.13621884006674,11,0.200000000000003,-7.86378115993326,8759.94411924651,3531.23244156495
"204",2014-04-30,"Specialty Registrar",3263.97,3.14917581028466,11.3,0.299999999999997,-8.15082418971534,9060.12225284805,3541.82613888965
"205",2014-05-31,"Specialty Registrar",3272.08,3.4054710016686,11.3,0,-7.8945289983314,9350.86156033703,3541.82613888965
"206",2014-06-30,"Specialty Registrar",3268.95,3.30655559488293,11.5,0.200000000000003,-8.19344440511707,9652.60930903702,3548.90979116743
"207",2014-07-31,"Specialty Registrar",3262.35,3.09797997674065,11.3,-0.200000000000003,-8.20202002325935,9954.67288016042,3541.81197158509
"208",2014-08-31,"Specialty Registrar",3123.8,-1.2805278859281,11.6,0.300000000000011,-12.8805278859281,10429.0362979703,3552.43740749985
"209",2014-09-30,"Specialty Registrar",3273.67,3.45571876422106,11.7,0.0999999999999943,-8.24428123577894,10732.6562628525,3555.98984490735
"210",2014-10-31,"Specialty Registrar",3272.9,3.43138494210446,11.8,0.0999999999999943,-8.36861505789554,11040.855187334,3559.54583475225
"211",2014-11-30,"Specialty Registrar",3269.92,3.33720989027658,11.6,-0.199999999999989,-8.26279010972343,11345.1567960729,3552.42674308275
